,count,mean,std,min,25%,50%,75%,max
career_DivWin,3346.0,1.6578003586371788,2.1489512449346075,0.0,0.0,1.0,3.0,14.0
career_WCWin,3346.0,0.34997011356843993,0.8340986017446581,0.0,0.0,0.0,0.0,7.0
career_LgWin,3346.0,1.4994022713687987,1.665664763539495,0.0,0.0,1.0,2.0,14.0
career_WSWin,3346.0,0.6963538553496712,1.0879823919587746,0.0,0.0,0.0,1.0,10.0
career_team_wins,3346.0,1142.0349671249253,296.4642054023671,279.0,927.0,1092.0,1311.0,2382.0
career_team_games,3346.0,2258.7606096832037,547.7786693796238,661.0,1863.0,2168.0,2585.75,4577.0
G,3346.0,1001.1658696951584,608.5901684276716,92.0,474.0,899.0,1399.75,3562.0
G_batting,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB,3346.0,2963.33831440526,2632.1485068932257,0.0,504.5,2540.0,4823.75,14053.0
R,3346.0,407.05857740585776,418.9475091246425,0.0,31.0,302.0,663.0,2295.0
H,3346.0,796.4022713687986,768.3006508830418,0.0,76.0,641.0,1309.0,4256.0
2B,3346.0,136.83173939031678,138.78354523245008,0.0,10.0,105.0,222.75,792.0
3B,3346.0,27.231619844590554,35.67720041124287,0.0,1.0,14.0,40.0,309.0
HR,3346.0,65.51016138673043,100.06442491906658,0.0,1.0,22.0,90.0,762.0
RBI,3346.0,373.0023909145248,395.1204346042045,0.0,29.0,270.0,577.75,2297.0
SB,3346.0,63.33891213389121,110.6015210766399,0.0,0.0,17.0,74.75,1406.0
CS,3346.0,20.936640765092648,32.328316537936836,0.0,0.0,5.0,31.0,335.0
BB,3346.0,285.77943813508665,316.9023035929595,0.0,20.0,200.5,445.0,2558.0
SO,3346.0,401.47549312612074,385.00234483413686,0.0,121.0,287.0,571.0,2597.0
IBB,3346.0,17.386730424387327,35.209047157558125,0.0,0.0,0.0,22.0,688.0
HBP,3346.0,21.314704124327555,29.573953395666482,0.0,1.0,11.0,31.0,287.0
SH,3346.0,42.84728033472803,51.29682944963331,0.0,9.0,27.0,56.0,512.0
SF,3346.0,15.843992827256425,23.90816113142845,0.0,0.0,1.0,27.0,128.0
GIDP,3346.0,48.97101016138673,62.73804458668388,0.0,0.0,14.0,82.0,350.0
G_old,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
