,count,mean,std,min,25%,50%,75%,max
career_DivWin,20985.0,0.5775077436263998,1.2874615957797284,0.0,0.0,0.0,1.0,14.0
career_WCWin,20985.0,0.22282582797236122,0.6452289204009316,0.0,0.0,0.0,0.0,7.0
career_LgWin,20985.0,0.4591851322373124,0.9859210030498032,0.0,0.0,0.0,1.0,14.0
career_WSWin,20985.0,0.2100071479628306,0.6012400809234808,0.0,0.0,0.0,0.0,10.0
career_team_wins,20985.0,417.94600905408623,404.4573700566128,0.0,93.0,256.0,625.0,2382.0
career_team_games,20985.0,846.5415773171313,788.7738679932912,6.0,162.0,486.0,1287.0,4577.0
G,20985.0,276.62354062425544,447.5983805097884,1.0,14.0,80.0,327.0,3562.0
G_batting,20985.0,4.836597569692637,31.111272856548272,0.0,0.0,0.0,0.0,324.0
AB,20985.0,752.9871336669049,1583.3512005946795,0.0,4.0,62.0,575.0,14053.0
R,20985.0,99.9477245651656,234.80984670271314,0.0,0.0,5.0,61.0,2295.0
H,20985.0,196.25928043840838,442.96040740064893,0.0,0.0,11.0,128.0,4256.0
2B,20985.0,33.66757207529187,79.22723926416913,0.0,0.0,1.0,20.0,792.0
3B,20985.0,6.5947581605908985,18.16401298916755,0.0,0.0,0.0,4.0,309.0
HR,20985.0,15.846795329997617,50.92185938100278,0.0,0.0,0.0,5.0,762.0
RBI,20985.0,90.38303550154872,219.5461328277122,0.0,0.0,4.0,53.0,2297.0
SB,20985.0,15.36521324755778,52.95586400470925,0.0,0.0,0.0,5.0,1406.0
CS,20985.0,4.942387419585418,15.823345318597823,0.0,0.0,0.0,1.0,335.0
BB,20985.0,69.50497974743865,172.38053427106658,0.0,0.0,3.0,39.0,2558.0
SO,20985.0,112.43759828448891,238.80251761591316,0.0,1.0,13.0,102.0,2597.0
IBB,20985.0,3.730474148201096,16.258080430022265,0.0,0.0,0.0,0.0,688.0
HBP,20985.0,5.737669764117227,15.9116755197125,0.0,0.0,0.0,3.0,287.0
SH,20985.0,10.851751250893495,27.352013872706944,0.0,0.0,1.0,8.0,512.0
SF,20985.0,3.7745055992375507,12.003468333158654,0.0,0.0,0.0,0.0,128.0
GIDP,20985.0,12.131760781510604,33.3492067406785,0.0,0.0,0.0,4.0,426.0
G_old,20985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
post_G,20985.0,2.501548725279962,7.748679986912246,0.0,0.0,0.0,0.0,158.0
post_AB,20985.0,6.049273290445556,25.342351911210145,0.0,0.0,0.0,0.0,650.0
post_R,20985.0,0.7240409816535621,3.5408468375449065,0.0,0.0,0.0,0.0,111.0
post_H,20985.0,1.4553728853943293,6.554743434341898,0.0,0.0,0.0,0.0,200.0
post_2B,20985.0,0.25522992613771744,1.2678949452703139,0.0,0.0,0.0,0.0,32.0
post_3B,20985.0,0.034024303073624015,0.24423457265009585,0.0,0.0,0.0,0.0,5.0
post_HR,20985.0,0.1633071241362878,1.0298477897035783,0.0,0.0,0.0,0.0,29.0
post_RBI,20985.0,0.6765308553728854,3.3537346064409923,0.0,0.0,0.0,0.0,80.0
post_SB,20985.0,0.11212771026923993,0.8527490110211696,0.0,0.0,0.0,0.0,34.0
post_CS,20985.0,0.047700738622825825,0.32899438101167416,0.0,0.0,0.0,0.0,9.0
post_BB,20985.0,0.5775077436263998,2.980222836870633,0.0,0.0,0.0,0.0,72.0
post_SO,20985.0,1.2458422682868715,5.485922352638941,0.0,0.0,0.0,0.0,135.0
post_IBB,20985.0,0.059804622349297114,0.4703334488779397,0.0,0.0,0.0,0.0,21.0
post_HBP,20985.0,0.052704312604241126,0.37884570394429784,0.0,0.0,0.0,0.0,13.0
post_SH,20985.0,0.07033595425303789,0.411900283877418,0.0,0.0,0.0,0.0,9.0
post_SF,20985.0,0.037455325232308795,0.2636440823753322,0.0,0.0,0.0,0.0,6.0
post_GIDP,20985.0,0.11284250655229926,0.6363312863063837,0.0,0.0,0.0,0.0,17.0
W,20985.0,10.957207529187516,31.96276663301983,0.0,0.0,0.0,4.0,511.0
L,20985.0,10.957207529187516,28.057842849818535,0.0,0.0,0.0,5.0,315.0
pitching_G,20985.0,58.12284965451513,129.6539279242667,0.0,0.0,1.0,41.0,1252.0
GS,20985.0,22.032118179652134,68.18386940685198,0.0,0.0,0.0,4.0,815.0
CG,20985.0,6.767643554920181,31.18949424985674,0.0,0.0,0.0,0.0,749.0
SHO,20985.0,0.969120800571837,4.362625412505465,0.0,0.0,0.0,0.0,110.0
SV,20985.0,3.6499404336430783,21.14900532305188,0.0,0.0,0.0,0.0,652.0
IPouts,20985.0,589.3900405051227,1561.1908777142958,0.0,0.0,3.0,296.0,22068.0
pitching_H,20985.0,196.22487491065047,512.6768419878933,0.0,0.0,1.0,104.0,7092.0
ER,20985.0,84.48143912318322,208.59125101277033,0.0,0.0,0.0,51.0,2147.0
pitching_HR,20985.0,15.846890636168691,42.010394990384164,0.0,0.0,0.0,9.0,522.0
pitching_BB,20985.0,69.55892304026686,170.77937883371467,0.0,0.0,0.0,42.0,2795.0
pitching_SO,20985.0,114.22749583035501,309.88734624458255,0.0,0.0,0.0,55.0,5714.0
BAOpp,20985.0,0.7030524660471765,1.6438357589038497,0.0,0.0,0.0,0.8119999999999999,39.96
ERA,20985.0,12.889592089587799,20.772491894926677,0.0,0.0,0.0,18.5,247.93
pitching_IBB,20985.0,3.731236597569693,11.777730425223215,0.0,0.0,0.0,0.0,179.0
WP,20985.0,6.250369311412914,16.807810825573824,0.0,0.0,0.0,4.0,343.0
pitching_HBP,20985.0,5.750869668811055,15.271827791899684,0.0,0.0,0.0,4.0,277.0
BK,20985.0,0.7073624017155111,2.4558231049885038,0.0,0.0,0.0,0.0,90.0
BFP,20985.0,840.633881343817,2198.8513520039514,0.0,0.0,4.0,434.0,29579.0
GF,20985.0,15.256468906361686,48.613661755133855,0.0,0.0,0.0,8.0,952.0
pitching_R,20985.0,99.94448415534906,251.93577946956395,0.0,0.0,0.0,60.0,3497.0
pitching_SH,20985.0,3.7999046938289256,13.898237942607341,0.0,0.0,0.0,0.0,274.0
pitching_SF,20985.0,3.212008577555397,10.337416018101562,0.0,0.0,0.0,0.0,140.0
pitching_GIDP,20985.0,8.338193948058137,29.12539184510798,0.0,0.0,0.0,0.0,422.0
post_W,20985.0,0.08973076006671432,0.6023700244366419,0.0,0.0,0.0,0.0,19.0
post_L,20985.0,0.08973076006671432,0.5341036659858802,0.0,0.0,0.0,0.0,16.0
pitching_post_G,20985.0,0.6339766499880868,2.9473520383167084,0.0,0.0,0.0,0.0,96.0
post_GS,20985.0,0.1800333571598761,1.2898219187891056,0.0,0.0,0.0,0.0,44.0
post_CG,20985.0,0.03149868954014772,0.3477899401385669,0.0,0.0,0.0,0.0,16.0
post_SHO,20985.0,0.006814391231832261,0.09860481699157721,0.0,0.0,0.0,0.0,4.0
post_SV,20985.0,0.034882058613295214,0.5113311146613038,0.0,0.0,0.0,0.0,42.0
post_IPouts,20985.0,4.831212771026924,26.655958681446467,0.0,0.0,0.0,0.0,830.0
pitching_post_H,20985.0,1.4553728853943293,7.9190663305237345,0.0,0.0,0.0,0.0,285.0
post_ER,20985.0,0.6419823683583512,3.491242335181013,0.0,0.0,0.0,0.0,117.0
pitching_post_HR,20985.0,0.16325947105075053,1.0066182313260654,0.0,0.0,0.0,0.0,31.0
pitching_post_BB,20985.0,0.5775077436263998,3.0743749822369555,0.0,0.0,0.0,0.0,87.0
pitching_post_SO,20985.0,1.2496068620443175,7.396182462842991,0.0,0.0,0.0,0.0,241.0
post_BAOpp,20985.0,0.08099518703836073,0.3520417636863939,0.0,0.0,0.0,0.0,8.688
post_ERA,20985.0,1.6781229449606865,8.676558765720543,0.0,0.0,0.0,0.0,255.05
pitching_post_IBB,20985.0,0.059804622349297114,0.39859797651397416,0.0,0.0,0.0,0.0,16.0
post_WP,20985.0,0.04736716702406481,0.3540865560447874,0.0,0.0,0.0,0.0,11.0
pitching_post_HBP,20985.0,0.052704312604241126,0.3744171369538338,0.0,0.0,0.0,0.0,10.0
post_BK,20985.0,0.0037645937574457946,0.0635337111912834,0.0,0.0,0.0,0.0,2.0
post_BFP,20985.0,6.574076721467715,36.19464965746398,0.0,0.0,0.0,0.0,1157.0
post_GF,20985.0,0.1485346676197284,1.1611896860100737,0.0,0.0,0.0,0.0,78.0
pitching_post_R,20985.0,0.7243269001667858,3.9234127624807997,0.0,0.0,0.0,0.0,121.0
pitching_post_SH,20985.0,0.07033595425303789,0.4729725341774941,0.0,0.0,0.0,0.0,12.0
pitching_post_SF,20985.0,0.037455325232308795,0.273927405567845,0.0,0.0,0.0,0.0,9.0
pitching_post_GIDP,20985.0,0.11289015963783655,0.7520325492924425,0.0,0.0,0.0,0.0,32.0
fielding_G,20985.0,254.2352632832976,416.1048954318409,0.0,12.0,72.0,301.0,3528.0
fielding_GS,20985.0,131.68992137240886,328.63026981310867,0.0,0.0,2.0,74.0,3437.0
InnOuts,20985.0,4062.5540624255423,9240.266535155914,0.0,9.0,330.0,2778.0,90298.0
PO,20985.0,589.0804860614725,1646.822676056924,0.0,4.0,30.0,306.0,23767.0
A,20985.0,245.48386943054564,704.2294942390077,0.0,4.0,25.0,137.0,8967.0
E,20985.0,26.112413628782463,67.35965550588007,0.0,0.0,4.0,19.0,1096.0
DP,20985.0,51.33014057660233,168.7540997632602,0.0,0.0,3.0,17.0,2044.0
PB,20985.0,2.990564689063617,20.27061501773252,0.0,0.0,0.0,0.0,763.0
fielding_WP,20985.0,0.7289015963783655,9.33548055318382,0.0,0.0,0.0,0.0,427.0
