,Player,Prediction,Truth
1743, Boland,Not Eligible,Not Eligible
1815, Booth,Not Eligible,Not Eligible
2977, Carroll,Not Eligible,Not Eligible
5406, Edwards,Not Eligible,Not Eligible
5669, Evans,Not Eligible,Not Eligible
6294, Franklin,Not Eligible,Not Eligible
8227, Hellings,Not Eligible,Not Eligible
8509, Higby,Not Eligible,Not Eligible
9559, Jones,Not Eligible,Not Eligible
9560, Jones,Not Eligible,Not Eligible
10949, Leonard,Not Eligible,Not Eligible
11002, Lewis,Not Eligible,Not Eligible
11513, Macey,Not Eligible,Not Eligible
12205, McBride,Not Eligible,Not Eligible
12377, McDoolan,Not Eligible,Not Eligible
12646, McRemer,Not Eligible,Not Eligible
13588, Murphy,Not Eligible,Not Eligible
14320, O'Rourke,Not Eligible,Not Eligible
15509, Quinlan,Not Eligible,Not Eligible
15992, Richardson,Not Eligible,Not Eligible
17208, Scott,Not Eligible,Not Eligible
17378, Shaffer,Not Eligible,Not Eligible
17492, Sheridan,Not Eligible,Not Eligible
17776, Smith,Not Eligible,Not Eligible
18132, Spencer,Not Eligible,Not Eligible
18207, Stafford,Not Eligible,Not Eligible
18443, Stoddard,Not Eligible,Not Eligible
18616, Sullivan,Not Eligible,Not Eligible
18755, Sweigert,Not Eligible,Not Eligible
20663, Wills,Not Eligible,Not Eligible
20881, Wood,Not Eligible,Not Eligible
51,A. J. Achter,Not Eligible,Not Eligible
217,A. J. Alexy,Not Eligible,Not Eligible
2524,A. J. Burnett,Not Inducted,Not Inducted
3598,A. J. Cole,Not Eligible,Not Eligible
5492,A. J. Ellis,Not Inducted,Not Inducted
7415,A. J. Griffin,Not Eligible,Not Eligible
8586,A. J. Hinch,Not Eligible,Not Eligible
9391,A. J. Jimenez,Not Eligible,Not Eligible
10556,A. J. Ladwig,Not Eligible,Not Eligible
13081,A. J. Minter,Not Eligible,Not Eligible
13390,A. J. Morris,Not Eligible,Not Eligible
13635,A. J. Murray,Not Eligible,Not Eligible
15133,A. J. Pierzynski,Not Inducted,Not Inducted
15454,A. J. Puk,Not Eligible,Not Eligible
15767,A. J. Reed,Not Eligible,Not Eligible
16746,A. J. Sager,Not Eligible,Not Eligible
17148,A. J. Schugel,Not Eligible,Not Eligible
15253,AJ Pollock,Not Eligible,Not Eligible
15637,AJ Ramos,Not Eligible,Not Eligible
17950,AJ Smith-Shawver,Not Eligible,Not Eligible
312,Aaron Altherr,Not Eligible,Not Eligible
